epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.85083,5.20215,99.8136,3.51564,0,0,0,0,4.45546,37.25,2.90243,0,0,0
2,4.17319,5.31555,126.5,3.71437,0,0,0,0,4.61756,38.5,3.00392,1.6505e-05,1.6505e-05,1.6505e-05
3,4.61696,5.23523,301.19,3.92319,0,0,0,0,4.74111,40.0625,3.0836,3.26799e-05,3.26799e-05,3.26799e-05
4,4.99724,4.79589,169.076,2.74557,0,0,0,0,5.14152,41.8125,3.34252,4.85247e-05,4.85247e-05,4.85247e-05
5,5.33487,6.12915,273.348,3.86094,0,0,0,0,5.25681,43.3125,3.42366,6.40395e-05,6.40395e-05,6.40395e-05
6,5.68272,4.59497,98.157,3.27216,0,0,0,0,5.44061,44.9375,3.54021,7.92242e-05,7.92242e-05,7.92242e-05
7,6.06323,5.57157,292.519,3.15136,0,0,0,0,5.58422,45.3438,3.63989,9.40788e-05,9.40788e-05,9.40788e-05
8,6.38529,5.10793,187.488,3.37741,0,0,0,0,5.58422,45.3438,3.63989,0.000108603,0.000108603,0.000108603
9,6.74214,4.94849,135.993,2.94286,0,0,0,0,5.52948,47.1066,3.62373,0.000122798,0.000122798,0.000122798
10,7.10445,5.04435,233.488,3.40589,0,0,0,0,5.52948,47.1066,3.62373,0.000136662,0.000136662,0.000136662
11,7.44332,4.85626,104.851,3.21655,0,0,0,0,5.45013,47.1146,3.62235,0.000150197,0.000150197,0.000150197
12,7.82456,5.69252,191.619,4.11008,0,0,0,0,5.45013,47.1146,3.62235,0.000163401,0.000163401,0.000163401
13,8.17334,5.18831,225.417,3.74996,0,0,0,0,5.41283,48.8593,3.62732,0.000176275,0.000176275,0.000176275
14,8.50331,5.04965,164.437,3.51214,0,0,0,0,5.41283,48.8593,3.62732,0.000188819,0.000188819,0.000188819
15,8.90574,5.78289,216.528,3.49214,0,0,0,0,5.39669,50.5022,3.64839,0.000201034,0.000201034,0.000201034
16,9.22543,5.15229,71.7171,3.30855,0,0,0,0,5.39669,50.5022,3.64839,0.000212918,0.000212918,0.000212918
17,9.65078,4.98783,102.516,3.41175,0,0,0,0,3.46392,200.873,2.58046,0.000224472,0.000224472,0.000224472
18,10.17,3.67731,314.95,2.8481,0,0,0,0,3.46392,200.873,2.58046,0.000235695,0.000235695,0.000235695
19,10.6934,3.88928,70.6961,2.44873,0,0,0,0,3.53328,210.075,2.58637,0.000246589,0.000246589,0.000246589
20,11.2237,4.56603,110.375,2.94576,0,0,0,0,3.53328,210.075,2.58637,0.000257153,0.000257153,0.000257153
21,11.7694,3.82299,97.7647,2.88469,0,0,0,0,3.53328,210.075,2.58637,0.000267387,0.000267387,0.000267387
22,12.3113,4.97066,106.546,3.21471,0,0,0,0,3.61276,167.053,2.60845,0.00027729,0.00027729,0.00027729
23,12.8857,3.84539,149.535,3.15826,0,0,0,0,3.61276,167.053,2.60845,0.000286864,0.000286864,0.000286864
24,13.4156,4.24906,101.725,3.14152,0,0,0,0,3.61276,167.053,2.60845,0.000296108,0.000296108,0.000296108
25,14.0126,4.45021,119.478,3.22272,0,0,0,0,3.23236,38.8839,2.03406,0.000305021,0.000305021,0.000305021
26,14.538,4.26244,27.3489,2.6871,0,0,0,0,3.23236,38.8839,2.03406,0.000313604,0.000313604,0.000313604
27,15.0957,3.37312,22.7375,2.53975,0,0,0,0,3.23236,38.8839,2.03406,0.000321858,0.000321858,0.000321858
28,15.6429,3.44263,25.2428,2.60812,0.00671,1,0.02163,0.0047,2.7406,18.7577,1.72403,0.000329781,0.000329781,0.000329781
29,16.1784,2.24326,12.7334,1.62387,0.00671,1,0.02163,0.0047,2.7406,18.7577,1.72403,0.000337374,0.000337374,0.000337374
30,16.7213,1.86002,10.5433,1.65451,0.00671,1,0.02163,0.0047,2.7406,18.7577,1.72403,0.000344637,0.000344637,0.000344637
31,17.27,1.84798,15.891,1.69381,0.03436,1,0.04326,0.02596,1.81478,36.1428,1.342,0.00035157,0.00035157,0.00035157
32,17.8191,1.80839,14.9035,1.5996,0.03436,1,0.04326,0.02596,1.81478,36.1428,1.342,0.000358173,0.000358173,0.000358173
